Date,Country,City,Specie,count,min,max,median,variance
2020-02-01,CO,Bogotá,pm10,334,3.0,94.0,26.0,2961.44
2020-02-16,CO,Bogotá,pm10,311,5.0,108.0,20.0,1781.93
2020-03-02,CO,Bogotá,pm10,100,15.0,89.0,33.0,2781.74
2020-04-02,CO,Bogotá,pm10,311,1.0,52.0,14.0,864.92
2020-02-05,CO,Bogotá,pm10,326,8.0,112.0,44.0,3942.07
2020-03-09,CO,Bogotá,pm10,335,15.0,84.0,36.0,2158.15
2020-03-22,CO,Bogotá,pm10,333,7.0,68.0,29.0,1073.04
2020-03-31,CO,Bogotá,pm10,318,1.0,68.0,25.0,2070.24
2020-04-05,CO,Bogotá,pm10,285,1.0,41.0,11.0,837.97
2020-02-19,CO,Bogotá,pm10,312,6.0,125.0,27.0,2452.25
2020-03-13,CO,Bogotá,pm10,334,13.0,131.0,43.0,2661.45
2020-03-18,CO,Bogotá,pm10,329,26.0,114.0,60.0,1515.55
2020-03-28,CO,Bogotá,pm10,165,19.0,79.0,46.0,955.32
2020-01-27,CO,Bogotá,pm10,333,8.0,81.0,31.0,2485.60
2020-01-29,CO,Bogotá,pm10,321,6.0,99.0,40.0,3069.20
2020-02-12,CO,Bogotá,pm10,312,14.0,122.0,45.0,3654.75
2020-02-22,CO,Bogotá,pm10,286,6.0,99.0,45.0,2439.94
2020-03-30,CO,Bogotá,pm10,320,23.0,93.0,50.0,1493.59
2020-03-23,CO,Bogotá,pm10,335,19.0,81.0,45.0,985.19
2019-12-31,CO,Bogotá,pm10,312,2.0,68.0,25.0,1881.26
2020-01-12,CO,Bogotá,pm10,329,4.0,60.0,16.0,1035.05
2020-01-14,CO,Bogotá,pm10,313,1.0,74.0,26.0,2192.74
2020-02-09,CO,Bogotá,pm10,301,10.0,77.0,39.0,2139.63
2020-03-04,CO,Bogotá,pm10,28,21.0,78.0,40.0,2743.32
2020-03-10,CO,Bogotá,pm10,327,10.0,107.0,42.0,3032.95
2020-04-04,CO,Bogotá,pm10,285,1.0,56.0,12.0,1024.81
2020-01-11,CO,Bogotá,pm10,336,5.0,152.0,24.0,3329.60
2020-01-13,CO,Bogotá,pm10,307,1.0,96.0,19.0,2302.80
2020-01-15,CO,Bogotá,pm10,312,3.0,79.0,24.0,3082.10
2020-02-07,CO,Bogotá,pm10,312,2.0,131.0,57.0,4119.71
2020-03-14,CO,Bogotá,pm10,333,1.0,84.0,27.0,1854.05
2020-03-20,CO,Bogotá,pm10,334,9.0,91.0,48.0,1717.75
2020-02-02,CO,Bogotá,pm10,312,7.0,96.0,30.0,2746.30
2020-02-08,CO,Bogotá,pm10,310,13.0,98.0,54.0,2380.95
2020-02-25,CO,Bogotá,pm10,336,5.0,135.0,38.0,3227.85
2020-02-26,CO,Bogotá,pm10,335,2.0,141.0,37.0,2787.17
2020-02-29,CO,Bogotá,pm10,64,20.0,76.0,44.0,1551.90
2020-03-06,CO,Bogotá,pm10,320,26.0,112.0,61.0,2264.52
2020-01-07,CO,Bogotá,pm10,314,2.0,98.0,32.0,2870.98
2020-02-06,CO,Bogotá,pm10,327,8.0,125.0,38.0,4616.06
2020-02-21,CO,Bogotá,pm10,312,14.0,130.0,48.0,3387.48
2020-02-27,CO,Bogotá,pm10,328,14.0,137.0,37.0,2708.18
2020-03-15,CO,Bogotá,pm10,334,1.0,61.0,23.0,1067.11
